global_step,update,step_in_update,reward,action_noisy,action_mean,value
1,1,0,0.42789894342422485,-0.0623818002641201,0.12585440278053284,-0.3235626220703125
2,1,1,0.32330411672592163,-0.2584152817726135,0.12472169101238251,-0.32225650548934937
3,1,2,0.2796803116798401,-0.11874286830425262,0.12313051521778107,-0.3221820592880249
4,1,3,0.43907979130744934,0.06249755620956421,0.12868595123291016,-0.3201081156730652
5,1,4,0.2457776516675949,0.038971319794654846,0.1249716579914093,-0.32358166575431824
6,1,5,0.16168321669101715,0.5998719930648804,0.12696799635887146,-0.3227488398551941
7,1,6,0.034340597689151764,0.24582476913928986,0.12222658097743988,-0.32309016585350037
8,1,7,-0.28790464997291565,-0.1288377344608307,0.12053507566452026,-0.32255345582962036
9,1,8,-0.260922372341156,-0.5077542662620544,0.11845915019512177,-0.32492995262145996
10,1,9,-0.022761352360248566,-0.000199720700038597,0.12295474112033844,-0.32207027077674866
11,1,10,0.07389187812805176,0.36378708481788635,0.12251926958560944,-0.3231724798679352
12,1,11,-0.01737131178379059,0.18489544093608856,0.11946746706962585,-0.3217287063598633
13,1,12,-0.20265090465545654,0.1371021717786789,0.12161794304847717,-0.32516181468963623
14,1,13,-0.12144976109266281,0.5689764022827148,0.1192990392446518,-0.3213408291339874
15,1,14,-0.1963331252336502,0.0782335102558136,0.12195436656475067,-0.32264721393585205
16,1,15,-0.08291782438755035,0.06532152742147446,0.12032808363437653,-0.3214804530143738
17,1,16,0.34178659319877625,0.49659648537635803,0.1299450397491455,-0.32443398237228394
18,1,17,0.43721166253089905,0.2909752428531647,0.1278878003358841,-0.3222751319408417
19,1,18,0.0785815417766571,0.15503805875778198,0.12348413467407227,-0.32313233613967896
20,1,19,-0.1450568586587906,0.13706208765506744,0.12122851610183716,-0.32112616300582886
21,1,20,-0.2248489260673523,0.47079357504844666,0.1175747960805893,-0.32264184951782227
22,1,21,-0.19062046706676483,-0.019341282546520233,0.12083546817302704,-0.3220784366130829
23,1,22,-0.08014408499002457,-0.2541409134864807,0.12363579869270325,-0.32730215787887573
24,1,23,-0.07816652953624725,0.00443083792924881,0.12362711131572723,-0.32289135456085205
25,1,24,-0.14636988937854767,0.056668721139431,0.12101858854293823,-0.32483047246932983
26,1,25,-0.061067644506692886,0.2436876744031906,0.12662172317504883,-0.32299262285232544
27,1,26,-0.15506237745285034,0.19886992871761322,0.11893649399280548,-0.3249114751815796
28,1,27,-0.1001923531293869,0.12305732816457748,0.12613901495933533,-0.32476121187210083
29,1,28,-0.008851446211338043,-0.12859854102134705,0.11978428065776825,-0.32288554310798645
30,1,29,-0.21521691977977753,-0.5972045063972473,0.11849065124988556,-0.320079505443573
31,1,30,-0.3824924826622009,-0.20039713382720947,0.11180257797241211,-0.31840980052948
32,1,31,-0.15151245892047882,0.2904948592185974,0.12123578786849976,-0.3244696855545044
33,1,32,0.2966574728488922,0.09034775197505951,0.13054035604000092,-0.32703647017478943
34,1,33,0.047175802290439606,-0.03700404614210129,0.12132243812084198,-0.321407675743103
35,1,34,-0.20279313623905182,0.4964611232280731,0.11861228942871094,-0.32218724489212036
36,1,35,0.03389040753245354,0.4421699047088623,0.12384222447872162,-0.3213765621185303
37,1,36,0.28456395864486694,0.3785683810710907,0.12530477344989777,-0.324413537979126
38,1,37,0.11537502706050873,0.8880946040153503,0.12484557926654816,-0.32150691747665405
39,1,38,-0.2082100659608841,0.06154951453208923,0.12133477628231049,-0.3260783553123474
40,1,39,-0.41504648327827454,0.15154464542865753,0.11899542808532715,-0.32341480255126953
41,1,40,-0.41149431467056274,0.36940979957580566,0.11535888910293579,-0.32322168350219727
42,1,41,-0.49628373980522156,-0.15701167285442352,0.11392371356487274,-0.3212814927101135
43,1,42,-0.21057277917861938,0.35183754563331604,0.12154737114906311,-0.3272451162338257
44,1,43,-0.18303602933883667,-0.07903331518173218,0.12380625307559967,-0.3249501883983612
45,1,44,-0.12440721690654755,-0.3623400330543518,0.11919200420379639,-0.32404154539108276
46,1,45,0.09179548174142838,0.5691931247711182,0.12139800190925598,-0.3204171657562256
47,1,46,-0.026863668113946915,-0.4169551730155945,0.1181819885969162,-0.3170982599258423
48,1,47,-0.13990837335586548,-0.8273012638092041,0.12059728801250458,-0.3239648938179016
49,1,48,-0.5553247332572937,0.3783283531665802,0.10563038289546967,-0.3175334334373474
50,1,49,-0.836677610874176,-0.0009238802012987435,0.11188867688179016,-0.3190682530403137
51,2,0,0.12010347843170166,0.43611857295036316,0.14020146429538727,-0.4991148114204407
52,2,1,-0.2521117627620697,-0.38937655091285706,0.13108880817890167,-0.49614712595939636
53,2,2,-0.2931888699531555,0.4852459728717804,0.13451631367206573,-0.5004243850708008
54,2,3,-0.09213941544294357,-0.7445616722106934,0.1369236707687378,-0.491677850484848
55,2,4,-0.13608169555664062,0.2685987651348114,0.13877952098846436,-0.5019764304161072
56,2,5,-0.3542044758796692,-0.20168539881706238,0.13282154500484467,-0.5001769065856934
57,2,6,-0.454391211271286,-0.34791454672813416,0.1316792070865631,-0.5007351636886597
58,2,7,-0.01666291616857052,-0.0069513400085270405,0.1365758627653122,-0.4960906207561493
59,2,8,-0.1298929899930954,-0.17811088263988495,0.12990835309028625,-0.4975564777851105
60,2,9,-0.16486243903636932,0.07963187247514725,0.13723187148571014,-0.4954410493373871
61,2,10,0.18874920904636383,-0.04188203811645508,0.13764885067939758,-0.49911966919898987
62,2,11,-0.1466296911239624,-0.10248547047376633,0.13182057440280914,-0.4936058521270752
63,2,12,-0.102481409907341,0.04961983859539032,0.13220025599002838,-0.49672287702560425
64,2,13,0.03777608647942543,-0.18709465861320496,0.13272905349731445,-0.4967837631702423
65,2,14,-0.1467929184436798,-0.02503124810755253,0.13274994492530823,-0.4994416832923889
66,2,15,-0.24829748272895813,0.1747339367866516,0.1361132264137268,-0.49944034218788147
67,2,16,-0.07415494322776794,-0.055291321128606796,0.1364937126636505,-0.5002593398094177
68,2,17,0.28617560863494873,0.3932705521583557,0.14378242194652557,-0.4979875683784485
69,2,18,0.23782137036323547,-0.02862595207989216,0.139018252491951,-0.4987792670726776
70,2,19,0.21876321732997894,0.024860017001628876,0.14251349866390228,-0.50179123878479
71,2,20,0.19956636428833008,0.6821298599243164,0.1402183324098587,-0.500108003616333
72,2,21,-0.05933676287531853,0.19769923388957977,0.13758015632629395,-0.50057053565979
73,2,22,-0.3135306239128113,-0.09118058532476425,0.13351993262767792,-0.5009879469871521
74,2,23,-0.1412399858236313,0.11154401302337646,0.13560040295124054,-0.49527624249458313
75,2,24,-0.1755034476518631,0.08378466218709946,0.13357175886631012,-0.491252064704895
76,2,25,-0.2437819540500641,0.13750261068344116,0.13210834562778473,-0.49576815962791443
77,2,26,-0.10650017857551575,0.5078763961791992,0.13497509062290192,-0.49427103996276855
78,2,27,-0.14947111904621124,0.19439932703971863,0.13453008234500885,-0.496915340423584
79,2,28,-0.16138137876987457,-0.3186546266078949,0.1351563036441803,-0.49602562189102173
80,2,29,0.01240585744380951,0.3679087162017822,0.1360861212015152,-0.4952542185783386
81,2,30,0.08834660798311234,-0.019546205177903175,0.1325126737356186,-0.4908342659473419
82,2,31,-0.28465062379837036,0.48881348967552185,0.13088250160217285,-0.4989016354084015
83,2,32,0.16502447426319122,0.14022761583328247,0.13948212563991547,-0.49617722630500793
84,2,33,0.4854661226272583,-0.20936943590641022,0.1431979238986969,-0.49693870544433594
85,2,34,0.04136068373918533,0.11809927970170975,0.1335698366165161,-0.4952060282230377
86,2,35,-0.046351686120033264,0.12252899259328842,0.13797499239444733,-0.49597182869911194
87,2,36,-0.16495326161384583,0.08244986087083817,0.1298781931400299,-0.492759108543396
88,2,37,0.07801853865385056,-0.13297653198242188,0.14239825308322906,-0.500667154788971
89,2,38,0.1860944926738739,-0.426451712846756,0.13622361421585083,-0.4986400306224823
90,2,39,-0.33530765771865845,0.12307020276784897,0.13086937367916107,-0.49754926562309265
91,2,40,-0.30049067735671997,0.2589379847049713,0.12952165305614471,-0.49934831261634827
92,2,41,-0.16128645837306976,0.10735536366701126,0.13527779281139374,-0.4969582259654999
93,2,42,-0.027286196127533913,0.3105025291442871,0.1402944028377533,-0.5009567737579346
94,2,43,0.11085060238838196,0.2528286278247833,0.1394280642271042,-0.4931330680847168
95,2,44,-0.006461587734520435,0.4846886694431305,0.13715392351150513,-0.49892520904541016
96,2,45,-0.08169946074485779,0.10213883221149445,0.1356986165046692,-0.4977213144302368
97,2,46,0.0275767482817173,0.15243683755397797,0.13881787657737732,-0.4963420033454895
98,2,47,-0.158268541097641,0.6678469181060791,0.13181626796722412,-0.49207189679145813
99,2,48,-0.3631344437599182,0.01596570387482643,0.13313323259353638,-0.49900731444358826
100,2,49,-0.18901240825653076,-0.403595894575119,0.13763026893138885,-0.5004492998123169
101,3,0,0.3756538927555084,0.2869545817375183,0.18972958624362946,-0.5525104999542236
102,3,1,0.17339374125003815,0.03855843096971512,0.18458931148052216,-0.551340639591217
103,3,2,-0.11040351539850235,-0.1917819380760193,0.18494553864002228,-0.5511702299118042
104,3,3,-0.022724099457263947,0.03419264405965805,0.1891561895608902,-0.5552944540977478
105,3,4,0.10963094234466553,-0.03691277652978897,0.18992388248443604,-0.5577488541603088
