global_step,update,step_in_update,reward,action_noisy,action_mean,value
1,1,0,-0.130310520529747,0.5936768651008606,0.11877937614917755,-0.3260934352874756
2,1,1,-0.09501585364341736,0.15293025970458984,0.121580109000206,-0.32115471363067627
3,1,2,-0.32355278730392456,0.770000696182251,0.12186424434185028,-0.3235171437263489
4,1,3,-0.11188755929470062,0.06676801294088364,0.11881078779697418,-0.3230709433555603
5,1,4,-0.05927248299121857,0.36983340978622437,0.12160016596317291,-0.32635167241096497
6,1,5,-0.32026922702789307,-0.03856568783521652,0.12273353338241577,-0.3216966390609741
7,1,6,0.2196519523859024,-0.06014866381883621,0.1216360330581665,-0.32598838210105896
8,1,7,0.15690995752811432,0.2103693038225174,0.12466423213481903,-0.3174635171890259
9,1,8,-0.33284375071525574,-0.6023337841033936,0.12168549001216888,-0.32312485575675964
10,1,9,-0.5068668127059937,0.3431442975997925,0.11689639091491699,-0.3196653127670288
11,1,10,0.8551481366157532,0.34807276725769043,0.11604881286621094,-0.32377880811691284
12,1,11,0.35187530517578125,-0.8018501996994019,0.13251152634620667,-0.32236191630363464
13,1,12,0.30316516757011414,0.06997022777795792,0.12462225556373596,-0.3237057328224182
14,1,13,0.24895773828029633,0.3782801330089569,0.1268346607685089,-0.32664424180984497
15,1,14,0.5730870366096497,0.05555371567606926,0.12756115198135376,-0.3248941898345947
16,1,15,-0.00520595395937562,0.40240922570228577,0.1298339068889618,-0.32472696900367737
17,1,16,-0.05024614930152893,0.4325234591960907,0.12420505285263062,-0.3228352665901184
18,1,17,-0.0917281061410904,0.07782996445894241,0.12307414412498474,-0.3234192728996277
19,1,18,-0.11447559297084808,0.07317044585943222,0.12016770243644714,-0.3217829465866089
20,1,19,0.18101239204406738,-0.29127705097198486,0.12282617390155792,-0.3229650855064392
21,1,20,-0.22258928418159485,0.29982414841651917,0.12299911677837372,-0.3196423351764679
22,1,21,0.09839067608118057,-0.18408018350601196,0.12202629446983337,-0.3244078755378723
23,1,22,0.41831710934638977,-0.06896995007991791,0.12551909685134888,-0.32269173860549927
24,1,23,0.40866467356681824,0.6425046920776367,0.12645113468170166,-0.3214442729949951
25,1,24,-0.07696399092674255,0.025047002360224724,0.12373298406600952,-0.3180108070373535
26,1,25,-0.4254818558692932,0.6205102801322937,0.12357042729854584,-0.32430288195610046
27,1,26,-0.15359361469745636,0.05063225328922272,0.1187186986207962,-0.3233146369457245
28,1,27,-0.32841336727142334,-0.15811531245708466,0.12140274047851562,-0.323731005191803
29,1,28,0.20243754982948303,-0.11568211019039154,0.11978453397750854,-0.3245464265346527
30,1,29,0.07842864841222763,0.30612292885780334,0.1208905428647995,-0.32123005390167236
31,1,30,0.10413776338100433,0.28200435638427734,0.12174203991889954,-0.31920504570007324
32,1,31,-0.24877206981182098,0.26382938027381897,0.12551449239253998,-0.3250809907913208
33,1,32,0.0058855353854596615,0.07994745671749115,0.11932215094566345,-0.32590252161026
34,1,33,0.30730322003364563,-0.2839317321777344,0.12256082892417908,-0.32333216071128845
35,1,34,-0.07888267934322357,0.47989511489868164,0.12399110198020935,-0.31761497259140015
36,1,35,-0.24279244244098663,-0.30518075823783875,0.12277747690677643,-0.3225514888763428
37,1,36,-0.45523521304130554,-0.5531355738639832,0.12120918929576874,-0.3210185170173645
38,1,37,0.1951836198568344,0.2853713631629944,0.11918888986110687,-0.3244020342826843
39,1,38,0.09471788257360458,0.4866248369216919,0.12367400527000427,-0.31983494758605957
40,1,39,-0.08603905886411667,0.05407991260290146,0.12463808059692383,-0.3259536027908325
41,1,40,-0.17816634476184845,0.011809754185378551,0.1234627515077591,-0.3228239417076111
42,1,41,-0.11812788993120193,0.19299115240573883,0.12401679158210754,-0.32601094245910645
43,1,42,-0.20338070392608643,0.20656238496303558,0.12212543189525604,-0.3223382234573364
44,1,43,-0.3931146264076233,0.457984983921051,0.12050987780094147,-0.32576411962509155
45,1,44,-0.2106674313545227,0.3605252802371979,0.11966295540332794,-0.32385772466659546
46,1,45,-0.0725337490439415,-0.3939928412437439,0.12013615667819977,-0.3247887194156647
