global_step,update,step_in_update,reward,action_noisy,action_mean,value
1,1,0,-0.04971783608198166,0.3545141816139221,0.11933128535747528,-0.3175504803657532
2,1,1,0.1898180991411209,-0.11351568251848221,0.12012265622615814,-0.322573721408844
3,1,2,0.01604572869837284,0.45074278116226196,0.12078812718391418,-0.31803756952285767
4,1,3,-0.0840713307261467,0.09924110770225525,0.12113946676254272,-0.3226892650127411
5,1,4,-0.16172786056995392,-0.3198356032371521,0.12227515876293182,-0.3237268924713135
6,1,5,-0.17688027024269104,0.43368229269981384,0.1177663654088974,-0.31885623931884766
7,1,6,-0.08457735180854797,-0.2426280677318573,0.12194640934467316,-0.3239060640335083
8,1,7,-0.2316180020570755,-0.1275680810213089,0.11848115921020508,-0.322373628616333
9,1,8,-0.17728202044963837,-0.12893779575824738,0.11956825852394104,-0.3221637010574341
10,1,9,-0.06866148859262466,0.6179913282394409,0.11930796504020691,-0.3220420479774475
11,1,10,0.2960180342197418,-0.09341796487569809,0.12317143380641937,-0.32427316904067993
12,1,11,-0.43343231081962585,0.1658361703157425,0.12425932288169861,-0.3206329941749573
13,1,12,-0.26369166374206543,0.23428307473659515,0.1160380095243454,-0.3228866457939148
14,1,13,-0.03450161963701248,0.24343928694725037,0.11599710583686829,-0.32224565744400024
15,1,14,-0.09274709969758987,0.014559689909219742,0.12068477272987366,-0.322238028049469
16,1,15,0.40662968158721924,-0.24334979057312012,0.12173572182655334,-0.3240361511707306
17,1,16,-0.055092304944992065,-0.13146038353443146,0.12520891427993774,-0.32015639543533325
18,1,17,-0.19023942947387695,0.2550700306892395,0.12105055153369904,-0.32215574383735657
19,1,18,-0.11654063314199448,0.5160503387451172,0.12021221220493317,-0.3229426145553589
20,1,19,-0.21815606951713562,0.3038617968559265,0.12134329974651337,-0.3239327669143677
21,1,20,-0.08355247974395752,-0.4542596638202667,0.12019132077693939,-0.3238716125488281
22,1,21,-0.1622600257396698,0.3399010896682739,0.12126947939395905,-0.3243890404701233
23,1,22,-0.26441025733947754,0.20896455645561218,0.12099671363830566,-0.3257467746734619
24,1,23,-0.018736928701400757,-0.00834538135677576,0.11775180697441101,-0.3227611780166626
25,1,24,-0.17708010971546173,-0.04493848606944084,0.12306353449821472,-0.32246774435043335
26,1,25,-0.02150539495050907,-0.08225641399621964,0.12199082970619202,-0.3257346451282501
27,1,26,-0.01579214073717594,0.9167449474334717,0.12336556613445282,-0.32456207275390625
28,1,27,-0.35410621762275696,0.7444602847099304,0.12183278799057007,-0.32328546047210693
29,1,28,-0.23639097809791565,0.06116937845945358,0.11865033209323883,-0.32360178232192993
30,1,29,0.3292526304721832,-0.33012011647224426,0.1200050562620163,-0.32430657744407654
31,1,30,-0.3520062267780304,0.25406044721603394,0.11896303296089172,-0.31600746512413025
32,1,31,0.0940699577331543,0.12404323369264603,0.1181458830833435,-0.3226122260093689
33,1,32,-0.28672438859939575,0.09713274985551834,0.12034405767917633,-0.32071059942245483
34,1,33,0.1322575807571411,0.4970968961715698,0.1176566481590271,-0.3241116404533386
35,1,34,0.23295313119888306,-0.670884907245636,0.12407131493091583,-0.3233359456062317
36,1,35,0.15982545912265778,-0.06650127470493317,0.12548457086086273,-0.32508784532546997
37,1,36,-0.28833961486816406,0.06443912535905838,0.12720268964767456,-0.32717740535736084
38,1,37,0.047009970992803574,-0.10373350977897644,0.12225772440433502,-0.3261963725090027
39,1,38,-0.25032907724380493,0.1606025993824005,0.11876724660396576,-0.3208983540534973
40,1,39,-0.012374330312013626,1.0,0.11709004640579224,-0.32091689109802246
41,1,40,0.026698706671595573,0.09136822074651718,0.12110134959220886,-0.3229278326034546
42,1,41,0.05278177186846733,-0.27975302934646606,0.12249217927455902,-0.3233335614204407
43,1,42,-0.47058674693107605,-0.43302634358406067,0.12061075866222382,-0.31890997290611267
44,1,43,0.006320244632661343,0.3375987112522125,0.11975513398647308,-0.32573503255844116
45,1,44,-0.01862250082194805,-0.01455232035368681,0.12255474925041199,-0.3236694931983948
46,1,45,0.24206070601940155,0.2909601330757141,0.12384822964668274,-0.3251234292984009
47,1,46,-0.18487143516540527,-0.2746322453022003,0.123956099152565,-0.32379451394081116
48,1,47,0.05626885965466499,-0.4929882884025574,0.11892950534820557,-0.32053348422050476
49,1,48,-0.04145492613315582,0.3935762941837311,0.12366250157356262,-0.3249415159225464
50,1,49,-0.11872856318950653,0.35510265827178955,0.12080736458301544,-0.3228120803833008
51,2,0,-0.2156907618045807,1.0,0.07827230542898178,-0.21180976927280426
52,2,1,-0.25725632905960083,0.5639541149139404,0.07870825380086899,-0.21294324100017548
53,2,2,-0.3853088319301605,0.4543599784374237,0.07914967089891434,-0.21338562667369843
54,2,3,-0.0433724969625473,0.15469859540462494,0.07866267114877701,-0.21375373005867004
55,2,4,0.07813394069671631,0.353005051612854,0.0769302174448967,-0.20961470901966095
56,2,5,-0.2701873481273651,0.6293860673904419,0.07959427684545517,-0.21101726591587067
57,2,6,-0.5334561467170715,0.08744078129529953,0.0799238309264183,-0.2128765732049942
58,2,7,-0.14895646274089813,0.581731379032135,0.07781017571687698,-0.21419432759284973
59,2,8,-0.15201230347156525,0.019764935597777367,0.08092702180147171,-0.21354101598262787
60,2,9,-0.09139613807201385,0.17845243215560913,0.08189382404088974,-0.21382169425487518
61,2,10,-0.1799929440021515,0.017224879935383797,0.07756847888231277,-0.21022948622703552
62,2,11,-0.38293781876564026,-0.38426679372787476,0.07931920140981674,-0.2124115526676178
63,2,12,-0.08487208187580109,-0.24682319164276123,0.07894649356603622,-0.21286268532276154
64,2,13,-0.3722236752510071,0.7662636637687683,0.07824673503637314,-0.21172603964805603
65,2,14,-0.13242986798286438,-0.18200194835662842,0.0777592882514,-0.21210667490959167
66,2,15,-0.40703561902046204,-0.4106276035308838,0.07763361185789108,-0.21133482456207275
67,2,16,-0.10985981673002243,0.2542319893836975,0.07593924552202225,-0.2126423865556717
68,2,17,0.16291622817516327,-0.6022588014602661,0.07932422310113907,-0.21216626465320587
69,2,18,0.4888094663619995,-0.09247124195098877,0.07571280747652054,-0.20841997861862183
70,2,19,-0.4204885959625244,0.3017444312572479,0.07771538943052292,-0.21036003530025482
71,2,20,0.24710477888584137,-0.5385477542877197,0.07637975364923477,-0.21257658302783966
72,2,21,0.12065625935792923,0.39141008257865906,0.0776323452591896,-0.20914015173912048
73,2,22,-0.003382421098649502,0.5399780869483948,0.08153562992811203,-0.21154990792274475
74,2,23,-0.023318910971283913,0.10173432528972626,0.08174490183591843,-0.21187566220760345
75,2,24,-0.1323547065258026,0.04191663861274719,0.08080338686704636,-0.21164967119693756
76,2,25,-0.05600699409842491,0.24057039618492126,0.08172822743654251,-0.21346162259578705
77,2,26,-0.036059021949768066,-0.08339216560125351,0.08167792111635208,-0.21220780909061432
78,2,27,-0.21506713330745697,0.11358807981014252,0.0813036784529686,-0.2121364325284958
79,2,28,-0.14446452260017395,0.06951729953289032,0.07993670552968979,-0.2120082676410675
80,2,29,-0.2061753273010254,0.46109485626220703,0.08013290911912918,-0.21304801106452942
81,2,30,-0.24212536215782166,0.207227423787117,0.07911931723356247,-0.21314844489097595
82,2,31,-0.14022831618785858,-0.35279643535614014,0.07692808657884598,-0.21130704879760742
83,2,32,0.14662371575832367,0.6159918308258057,0.07634637504816055,-0.20954716205596924
84,2,33,-0.09431405365467072,-0.26068487763404846,0.08159773796796799,-0.21058978140354156
85,2,34,-0.29097920656204224,0.35916247963905334,0.07917983084917068,-0.2109171599149704
86,2,35,-0.15376770496368408,0.4460531771183014,0.07875149697065353,-0.21247170865535736
87,2,36,-0.4213508665561676,0.1897602677345276,0.08016879111528397,-0.21271613240242004
88,2,37,0.46517038345336914,-0.6097954511642456,0.07560846954584122,-0.21129974722862244
89,2,38,0.3162914216518402,-0.5288820862770081,0.07726124674081802,-0.20261220633983612
90,2,39,0.28940701484680176,0.7491310834884644,0.0760129764676094,-0.2108794003725052
91,2,40,-0.05657282844185829,0.0023641306906938553,0.08107434958219528,-0.21077707409858704
92,2,41,0.18718069791793823,0.44222891330718994,0.08072403818368912,-0.21140524744987488
93,2,42,-0.3065683841705322,0.8449813723564148,0.08192523568868637,-0.211853489279747
94,2,43,0.11020777374505997,-0.01581464894115925,0.07886091619729996,-0.21278436481952667
95,2,44,-0.02318020537495613,-0.07124998420476913,0.08091137558221817,-0.2116963416337967
96,2,45,-0.03444145992398262,0.05647794529795647,0.08235033601522446,-0.21321789920330048
97,2,46,-0.15915773808956146,0.34917789697647095,0.08247625082731247,-0.21361298859119415
98,2,47,-0.13897179067134857,0.21963606774806976,0.08034398406744003,-0.21236489713191986
99,2,48,-0.3182756006717682,0.7008637189865112,0.07793434709310532,-0.21108226478099823
100,2,49,-0.03447607532143593,0.08355498313903809,0.078233502805233,-0.21206866204738617
101,3,0,-0.019652336835861206,0.10689082741737366,0.03855050727725029,-0.24720680713653564
102,3,1,-0.04005232825875282,0.522899866104126,0.040754180401563644,-0.24626898765563965
103,3,2,-0.17896334826946259,-0.8653834462165833,0.04322442039847374,-0.24685299396514893
104,3,3,0.15952536463737488,-0.03955944627523422,0.04152388498187065,-0.24673467874526978
105,3,4,0.21303756535053253,-0.02160869725048542,0.04165513440966606,-0.24532335996627808
106,3,5,-0.06577949225902557,0.1859525442123413,0.0425642691552639,-0.244279146194458
107,3,6,0.06447475403547287,0.6800003051757812,0.03944208845496178,-0.24316686391830444
