global_step,update,step_in_update,reward,action_noisy,action_mean,value
31,1,30,-0.05177384614944458,-0.5245673656463623,0.12491043657064438,-0.32590964436531067
32,1,31,-0.04083658382296562,0.5641888976097107,0.1264839470386505,-0.3229084014892578
33,1,32,0.02158311754465103,0.16559644043445587,0.10584403574466705,-0.32088416814804077
34,1,33,-0.1551828682422638,0.5160125494003296,0.11132122576236725,-0.31750690937042236
35,1,34,-0.09476148337125778,-0.06787668168544769,0.11978413164615631,-0.3238769769668579
36,1,35,0.194960817694664,0.5788292288780212,0.14240477979183197,-0.3244287669658661
37,1,36,0.20436616241931915,0.004980455152690411,0.1262022852897644,-0.32408466935157776
38,1,37,0.10502058267593384,0.35919585824012756,0.12849865853786469,-0.325265109539032
39,1,38,0.11059903353452682,-0.2547096610069275,0.1280224472284317,-0.3262518048286438
40,1,39,0.23967348039150238,0.013098646886646748,0.13604041934013367,-0.32384800910949707
41,1,40,0.10640092194080353,-0.07100676745176315,0.12096100300550461,-0.32209306955337524
42,1,41,0.17945986986160278,0.5806660056114197,0.1319706290960312,-0.32355111837387085
43,1,42,0.3418925106525421,-0.004453357309103012,0.13256557285785675,-0.32095855474472046
44,1,43,-0.04437434673309326,0.26476171612739563,0.11613891273736954,-0.32290661334991455
45,1,44,-0.257364958524704,0.28231364488601685,0.11775428056716919,-0.32427021861076355
46,1,45,-0.27371150255203247,-0.48828279972076416,0.11513187736272812,-0.3261784315109253
47,1,46,-0.325979620218277,0.3782898485660553,0.11615993827581406,-0.3248833417892456
48,1,47,-0.3180328905582428,0.14246544241905212,0.09847082197666168,-0.3259001076221466
49,1,48,-0.0652511864900589,-0.42868316173553467,0.12618494033813477,-0.3240533471107483
50,1,49,0.054407019168138504,0.35532185435295105,0.1301376223564148,-0.32519492506980896
51,2,0,-0.19039887189865112,0.5259499549865723,0.2028203010559082,-0.4419960677623749
52,2,1,-0.21389108896255493,0.160599946975708,0.21212303638458252,-0.44113823771476746
53,2,2,-0.1935647875070572,0.09954763948917389,0.21264582872390747,-0.4435608983039856
54,2,3,-0.30272430181503296,0.472384512424469,0.203912153840065,-0.4361828863620758
55,2,4,-0.25504106283187866,0.4728708863258362,0.208856001496315,-0.4424433708190918
56,2,5,-0.006147120613604784,0.4840349555015564,0.22260209918022156,-0.4437708556652069
57,2,6,0.003180039580911398,0.39170345664024353,0.22555316984653473,-0.44446080923080444
58,2,7,-0.11147884279489517,-0.13249842822551727,0.21199437975883484,-0.4392937421798706
59,2,8,0.006805286277085543,0.5352513194084167,0.218183234333992,-0.44176185131073
60,2,9,0.11553149670362473,-0.01567181944847107,0.21867823600769043,-0.441385954618454
61,2,10,-0.04132763296365738,0.737524151802063,0.2112375795841217,-0.44467949867248535
62,2,11,0.023387448862195015,0.37820208072662354,0.22339379787445068,-0.44178521633148193
63,2,12,-0.07297159731388092,-0.16449624300003052,0.21264269948005676,-0.4424208402633667
64,2,13,0.03684082627296448,-0.33481332659721375,0.22615717351436615,-0.4419555068016052
65,2,14,0.120814748108387,0.07035505026578903,0.22155246138572693,-0.4386805593967438
66,2,15,-0.03239947557449341,1.0,0.21712516248226166,-0.4426613450050354
67,2,16,-0.12445507198572159,0.05486694723367691,0.20910759270191193,-0.44011056423187256
68,2,17,-0.10881553590297699,0.9326891899108887,0.21600203216075897,-0.44565603137016296
69,2,18,-0.1760338991880417,0.7681006193161011,0.21139003336429596,-0.44144779443740845
70,2,19,-0.12065932899713516,-0.5347459316253662,0.20873552560806274,-0.4442312717437744
71,2,20,-0.24578119814395905,0.3733062744140625,0.2110232412815094,-0.4430898129940033
72,2,21,0.020086240023374557,0.18191251158714294,0.2057773917913437,-0.4410625398159027
73,2,22,0.24777498841285706,0.4332100749015808,0.22170387208461761,-0.4435938596725464
74,2,23,0.010292256250977516,-0.2193770855665207,0.21047739684581757,-0.4382154941558838
75,2,24,0.1834520697593689,0.6994918584823608,0.23376652598381042,-0.44388264417648315
76,2,25,-0.09990620613098145,0.6757662892341614,0.2061321884393692,-0.43912965059280396
77,2,26,-0.23702432215213776,-0.26459139585494995,0.20748519897460938,-0.4445995092391968
78,2,27,0.08218186348676682,0.01816638372838497,0.22528256475925446,-0.4410797953605652
79,2,28,-0.15915149450302124,0.5406308770179749,0.20234696567058563,-0.4436314105987549
80,2,29,-0.38131749629974365,-0.46737509965896606,0.206960991024971,-0.44468411803245544
81,2,30,-0.28571030497550964,0.41787052154541016,0.2169676125049591,-0.4482162892818451
82,2,31,-0.2743317782878876,0.1981310397386551,0.2065841555595398,-0.4414658546447754
83,2,32,-0.22940891981124878,0.752295970916748,0.19950905442237854,-0.4444226026535034
84,2,33,-0.2976580858230591,0.6045376658439636,0.21558281779289246,-0.44301512837409973
85,2,34,-0.11616424471139908,0.14277207851409912,0.20933297276496887,-0.44201424717903137
86,2,35,-0.11682657152414322,0.2425127625465393,0.2183840274810791,-0.4412725269794464
87,2,36,-0.3673878014087677,-0.3891430199146271,0.19870103895664215,-0.4395791292190552
88,2,37,-0.07929641008377075,0.20596425235271454,0.21779797971248627,-0.4436807334423065
89,2,38,-0.03722202032804489,0.4217645227909088,0.22136127948760986,-0.43020057678222656
90,2,39,0.16424277424812317,0.35433971881866455,0.22037599980831146,-0.4414809048175812
91,2,40,0.18348954617977142,0.29727041721343994,0.21719735860824585,-0.43760061264038086
92,2,41,0.029415681958198547,-0.42448607087135315,0.22132976353168488,-0.4436050057411194
93,2,42,-0.11700963973999023,0.2849331498146057,0.21144995093345642,-0.44112229347229004
94,2,43,-0.25318238139152527,0.08376135677099228,0.20297923684120178,-0.444732129573822
95,2,44,-0.2079465389251709,-0.15164245665073395,0.2203768938779831,-0.44268742203712463
96,2,45,-0.14083069562911987,-0.05048813670873642,0.20546270906925201,-0.4427794814109802
97,2,46,-0.07738358527421951,0.7863527536392212,0.22513405978679657,-0.4447111487388611
98,2,47,0.13769252598285675,0.3116859197616577,0.2231656014919281,-0.4453769028186798
99,2,48,0.11443889886140823,0.7320100665092468,0.22439450025558472,-0.44375863671302795
100,2,49,-0.17981953918933868,0.21152806282043457,0.20758892595767975,-0.4412904977798462
101,3,0,0.4021924138069153,-0.25114667415618896,0.24855603277683258,-0.4753492474555969
