[TIMING] Step 106: total=0.65 ms, inference=0.06 ms
[TIMING] Step 107: total=0.40 ms, inference=0.08 ms
[TIMING] Step 108: total=0.34 ms, inference=0.06 ms
[TIMING] Step 109: total=0.33 ms, inference=0.06 ms
[TIMING] Step 110: total=0.33 ms, inference=0.06 ms
[TIMING] Step 111: total=0.33 ms, inference=0.06 ms
[TIMING] Step 112: total=0.33 ms, inference=0.06 ms
[TIMING] Step 113: total=0.32 ms, inference=0.06 ms
[TIMING] Step 114: total=0.38 ms, inference=0.07 ms
[TIMING] Step 115: total=0.34 ms, inference=0.07 ms
[TIMING] Step 116: total=0.33 ms, inference=0.06 ms
[TIMING] Step 117: total=0.33 ms, inference=0.06 ms
[TIMING] Step 118: total=0.32 ms, inference=0.06 ms
[TIMING] Step 119: total=0.33 ms, inference=0.06 ms
[TIMING] Step 120: total=0.33 ms, inference=0.06 ms
[TIMING] Step 121: total=0.33 ms, inference=0.06 ms
[TIMING] Step 122: total=0.35 ms, inference=0.06 ms
[TIMING] Step 123: total=0.33 ms, inference=0.06 ms
[TIMING] Step 124: total=0.33 ms, inference=0.06 ms
[TIMING] Step 125: total=0.32 ms, inference=0.06 ms
[TIMING] Step 126: total=0.32 ms, inference=0.06 ms
[TIMING] Step 127: total=0.33 ms, inference=0.06 ms
[TIMING] Step 128: total=0.33 ms, inference=0.06 ms
[TIMING] Step 129: total=0.33 ms, inference=0.06 ms
[TIMING] Step 130: total=0.41 ms, inference=0.06 ms
[TIMING] Step 131: total=0.38 ms, inference=0.08 ms
[TIMING] Step 132: total=0.33 ms, inference=0.06 ms
[TIMING] Step 133: total=0.33 ms, inference=0.06 ms
[TIMING] Step 134: total=0.32 ms, inference=0.06 ms
[TIMING] Step 135: total=0.33 ms, inference=0.06 ms
[TIMING] Step 136: total=0.33 ms, inference=0.06 ms
[TIMING] Step 137: total=0.32 ms, inference=0.06 ms
[TIMING] Step 138: total=0.39 ms, inference=0.10 ms
[TIMING] Step 139: total=0.35 ms, inference=0.07 ms
[TIMING] Step 140: total=0.33 ms, inference=0.06 ms
[TIMING] Step 141: total=0.33 ms, inference=0.06 ms
[TIMING] Step 142: total=0.33 ms, inference=0.06 ms
[TIMING] Step 143: total=0.33 ms, inference=0.06 ms
[TIMING] Step 144: total=0.33 ms, inference=0.06 ms
[TIMING] Step 145: total=0.32 ms, inference=0.06 ms
[TIMING] Step 146: total=0.39 ms, inference=0.11 ms
[TIMING] Step 147: total=0.33 ms, inference=0.06 ms
[TIMING] Step 148: total=0.34 ms, inference=0.06 ms
[TIMING] Step 149: total=0.33 ms, inference=0.06 ms
[TIMING] Step 150: total=0.32 ms, inference=0.06 ms
[TIMING] Step 151: total=0.38 ms, inference=0.07 ms
[TIMING] Step 152: total=0.36 ms, inference=0.07 ms
[TIMING] Step 153: total=0.33 ms, inference=0.06 ms
[TIMING] Step 154: total=0.37 ms, inference=0.07 ms
[TIMING] Step 155: total=0.36 ms, inference=0.07 ms
[TIMING] Step 156: total=0.34 ms, inference=0.06 ms
[TIMING] Step 157: total=0.32 ms, inference=0.06 ms
[TIMING] Step 158: total=0.32 ms, inference=0.06 ms
[TIMING] Step 159: total=0.32 ms, inference=0.06 ms
[TIMING] Step 160: total=0.33 ms, inference=0.06 ms
[TIMING] Step 161: total=0.33 ms, inference=0.06 ms
[TIMING] Step 162: total=0.41 ms, inference=0.06 ms
[TIMING] Step 163: total=0.32 ms, inference=0.06 ms
[TIMING] Step 164: total=0.33 ms, inference=0.06 ms
[TIMING] Step 165: total=0.33 ms, inference=0.06 ms
[TIMING] Step 166: total=0.32 ms, inference=0.06 ms
[TIMING] Step 167: total=0.32 ms, inference=0.06 ms
[TIMING] Step 168: total=0.33 ms, inference=0.06 ms
[TIMING] Step 169: total=0.32 ms, inference=0.06 ms
[TIMING] Step 170: total=0.45 ms, inference=0.10 ms
[TIMING] Step 171: total=0.36 ms, inference=0.07 ms
[TIMING] Step 172: total=0.34 ms, inference=0.06 ms
[TIMING] Step 173: total=0.32 ms, inference=0.06 ms
[TIMING] Step 174: total=0.33 ms, inference=0.06 ms
[TIMING] Step 175: total=0.32 ms, inference=0.06 ms
[TIMING] Step 176: total=0.32 ms, inference=0.06 ms
[TIMING] Step 177: total=0.32 ms, inference=0.06 ms
[TIMING] Step 178: total=0.36 ms, inference=0.08 ms
[TIMING] Step 179: total=0.33 ms, inference=0.06 ms
[TIMING] Step 180: total=0.33 ms, inference=0.06 ms
[TIMING] Step 181: total=0.32 ms, inference=0.06 ms
[TIMING] Step 182: total=0.33 ms, inference=0.06 ms
[TIMING] Step 183: total=0.32 ms, inference=0.06 ms
[TIMING] Step 184: total=0.33 ms, inference=0.06 ms
[TIMING] Step 185: total=0.32 ms, inference=0.06 ms
[TIMING] Step 186: total=0.39 ms, inference=0.06 ms
[TIMING] Step 187: total=0.34 ms, inference=0.07 ms
[TIMING] Step 188: total=0.33 ms, inference=0.06 ms
[TIMING] Step 189: total=0.32 ms, inference=0.06 ms
[TIMING] Step 190: total=0.32 ms, inference=0.06 ms
[TIMING] Step 191: total=0.32 ms, inference=0.06 ms
[TIMING] Step 192: total=0.33 ms, inference=0.06 ms
[TIMING] Step 193: total=0.33 ms, inference=0.06 ms
[TIMING] Step 194: total=0.32 ms, inference=0.06 ms
[TIMING] Step 195: total=0.33 ms, inference=0.06 ms
[TIMING] Step 196: total=0.33 ms, inference=0.06 ms
[TIMING] Step 197: total=0.32 ms, inference=0.06 ms
[TIMING] Step 198: total=0.32 ms, inference=0.06 ms
[TIMING] Step 199: total=0.33 ms, inference=0.06 ms
[TIMING] Step 200: total=0.33 ms, inference=0.06 ms
[TIMING] Step 201: total=0.32 ms, inference=0.06 ms
[TIMING] Step 202: total=0.32 ms, inference=0.06 ms
[TIMING] Step 203: total=0.38 ms, inference=0.06 ms
[TIMING] Step 204: total=0.32 ms, inference=0.06 ms
[TIMING] Step 205: total=0.34 ms, inference=0.06 ms
[TIMING] Step 206: total=0.34 ms, inference=0.07 ms
[TIMING] Step 207: total=0.33 ms, inference=0.06 ms
[TIMING] Step 208: total=0.32 ms, inference=0.06 ms
[TIMING] Step 209: total=0.32 ms, inference=0.06 ms
[TIMING] Step 210: total=0.32 ms, inference=0.06 ms
[TIMING] Step 211: total=0.37 ms, inference=0.06 ms
[TIMING] Step 212: total=0.70 ms, inference=0.07 ms
[TIMING] Step 213: total=0.82 ms, inference=0.06 ms
[TIMING] Step 214: total=0.84 ms, inference=0.06 ms
[TIMING] Step 215: total=0.90 ms, inference=0.06 ms
[TIMING] Step 216: total=0.84 ms, inference=0.07 ms
[TIMING] Step 217: total=0.80 ms, inference=0.06 ms
[TIMING] Step 218: total=0.84 ms, inference=0.06 ms
[TIMING] Step 219: total=0.95 ms, inference=0.07 ms
[TIMING] Step 220: total=0.82 ms, inference=0.12 ms
[TIMING] Step 221: total=0.69 ms, inference=0.11 ms
[TIMING] Step 222: total=0.73 ms, inference=0.12 ms
[TIMING] Step 223: total=1.26 ms, inference=0.15 ms
[TIMING] Step 224: total=0.58 ms, inference=0.12 ms
[TIMING] Step 225: total=0.39 ms, inference=0.08 ms
[TIMING] Step 226: total=0.59 ms, inference=0.09 ms
[TIMING] Step 227: total=0.89 ms, inference=0.08 ms
[TIMING] Step 228: total=0.59 ms, inference=0.12 ms
[TIMING] Step 229: total=0.90 ms, inference=0.18 ms
[TIMING] Step 230: total=0.60 ms, inference=0.12 ms
[TIMING] Step 231: total=0.70 ms, inference=0.22 ms
[TIMING] Step 232: total=0.60 ms, inference=0.13 ms
[TIMING] Step 233: total=0.62 ms, inference=0.13 ms
[TIMING] Step 234: total=0.58 ms, inference=0.13 ms
[TIMING] Step 235: total=0.72 ms, inference=0.19 ms
[TIMING] Step 236: total=0.59 ms, inference=0.13 ms
[TIMING] Step 237: total=0.57 ms, inference=0.13 ms
[TIMING] Step 238: total=0.64 ms, inference=0.12 ms
[TIMING] Step 239: total=0.62 ms, inference=0.11 ms
[TIMING] Step 240: total=1.21 ms, inference=0.11 ms
[TIMING] Step 241: total=0.46 ms, inference=0.10 ms
[TIMING] Step 242: total=0.47 ms, inference=0.10 ms
[TIMING] Step 243: total=0.67 ms, inference=0.07 ms
[TIMING] Step 244: total=0.74 ms, inference=0.07 ms
[TIMING] Step 245: total=0.80 ms, inference=0.07 ms
[TIMING] Step 246: total=0.87 ms, inference=0.07 ms
[TIMING] Step 247: total=0.86 ms, inference=0.07 ms
[TIMING] Step 248: total=0.79 ms, inference=0.07 ms
[TIMING] Step 249: total=0.83 ms, inference=0.07 ms
[TIMING] Step 250: total=0.89 ms, inference=0.08 ms
[TIMING] Step 251: total=0.80 ms, inference=0.07 ms
[TIMING] Step 252: total=0.78 ms, inference=0.07 ms
[TIMING] Step 253: total=0.81 ms, inference=0.07 ms
[TIMING] Step 254: total=0.84 ms, inference=0.07 ms
[TIMING] Step 255: total=0.86 ms, inference=0.07 ms
[TIMING] Step 256: total=0.79 ms, inference=0.07 ms
[TIMING] Step 257: total=1.27 ms, inference=0.07 ms
[TIMING] Step 258: total=0.44 ms, inference=0.07 ms
[TIMING] Step 259: total=0.85 ms, inference=0.07 ms
[TIMING] Step 260: total=0.73 ms, inference=0.07 ms
[TIMING] Step 261: total=0.81 ms, inference=0.07 ms
[TIMING] Step 262: total=0.80 ms, inference=0.07 ms
[TIMING] Step 263: total=1.08 ms, inference=0.07 ms
[TIMING] Step 264: total=0.67 ms, inference=0.08 ms
[TIMING] Step 265: total=0.75 ms, inference=0.07 ms
[TIMING] Step 266: total=0.78 ms, inference=0.07 ms
[TIMING] Step 267: total=1.02 ms, inference=0.07 ms
[TIMING] Step 268: total=0.65 ms, inference=0.07 ms
