[TIMING] Step 0: total=0.71 ms, inference=0.19 ms
[TIMING] Step 1: total=0.50 ms, inference=0.10 ms
[TIMING] Step 2: total=0.41 ms, inference=0.09 ms
[TIMING] Step 3: total=0.40 ms, inference=0.07 ms
[TIMING] Step 4: total=0.33 ms, inference=0.06 ms
[TIMING] Step 5: total=0.32 ms, inference=0.06 ms
[TIMING] Step 6: total=0.35 ms, inference=0.06 ms
[TIMING] Step 7: total=0.35 ms, inference=0.07 ms
[TIMING] Step 8: total=0.32 ms, inference=0.06 ms
[TIMING] Step 9: total=0.33 ms, inference=0.06 ms
[TIMING] Step 10: total=0.34 ms, inference=0.06 ms
[TIMING] Step 11: total=0.36 ms, inference=0.07 ms
[TIMING] Step 12: total=0.34 ms, inference=0.06 ms
[TIMING] Step 13: total=0.32 ms, inference=0.06 ms
[TIMING] Step 14: total=0.32 ms, inference=0.06 ms
[TIMING] Step 15: total=0.39 ms, inference=0.06 ms
[TIMING] Step 16: total=0.58 ms, inference=0.17 ms
[TIMING] Step 17: total=0.58 ms, inference=0.12 ms
[TIMING] Step 18: total=0.49 ms, inference=0.12 ms
[TIMING] Step 19: total=0.34 ms, inference=0.07 ms
[TIMING] Step 20: total=0.32 ms, inference=0.06 ms
[TIMING] Step 21: total=0.31 ms, inference=0.06 ms
[TIMING] Step 22: total=0.31 ms, inference=0.06 ms
[TIMING] Step 23: total=0.31 ms, inference=0.06 ms
[TIMING] Step 24: total=0.33 ms, inference=0.06 ms
[TIMING] Step 25: total=0.42 ms, inference=0.08 ms
[TIMING] Step 26: total=0.39 ms, inference=0.08 ms
[TIMING] Step 27: total=0.33 ms, inference=0.06 ms
[TIMING] Step 28: total=0.33 ms, inference=0.07 ms
[TIMING] Step 29: total=0.31 ms, inference=0.06 ms
[TIMING] Step 30: total=0.32 ms, inference=0.06 ms
[TIMING] Step 31: total=0.33 ms, inference=0.06 ms
[TIMING] Step 32: total=0.40 ms, inference=0.06 ms
[TIMING] Step 33: total=0.32 ms, inference=0.06 ms
[TIMING] Step 34: total=0.30 ms, inference=0.06 ms
[TIMING] Step 35: total=0.30 ms, inference=0.06 ms
[TIMING] Step 36: total=0.31 ms, inference=0.06 ms
[TIMING] Step 37: total=0.30 ms, inference=0.06 ms
[TIMING] Step 38: total=0.31 ms, inference=0.06 ms
[TIMING] Step 39: total=0.30 ms, inference=0.05 ms
[TIMING] Step 40: total=0.30 ms, inference=0.06 ms
[TIMING] Step 41: total=0.32 ms, inference=0.06 ms
[TIMING] Step 42: total=0.31 ms, inference=0.06 ms
[TIMING] Step 43: total=0.30 ms, inference=0.06 ms
[TIMING] Step 44: total=0.31 ms, inference=0.06 ms
[TIMING] Step 45: total=0.30 ms, inference=0.06 ms
[TIMING] Step 46: total=0.31 ms, inference=0.06 ms
[TIMING] Step 47: total=0.30 ms, inference=0.06 ms
[TIMING] Step 48: total=0.30 ms, inference=0.06 ms
[TIMING] Step 49: total=0.31 ms, inference=0.06 ms
[TIMING] Step 50: total=0.33 ms, inference=0.06 ms
[TIMING] Step 51: total=0.31 ms, inference=0.06 ms
