global_step,update,step_in_update,reward,action_noisy,action_mean,value
1,1,0,0.9903927445411682,0.3891894817352295,0.0006935126148164272,-0.002326423302292824
2,1,1,0.9901303052902222,0.49730050563812256,0.0007133070612326264,-0.0023253897670656443
3,1,2,0.99058997631073,0.1323530077934265,0.000713731162250042,-0.002320296596735716
4,1,3,0.9904743432998657,-0.417268306016922,0.0007104444084689021,-0.00232194596901536
5,1,4,0.9905915856361389,-0.7449959516525269,0.0007187450537458062,-0.002320591825991869
6,1,5,0.9907224178314209,0.3268319368362427,0.0007107005221769214,-0.002320581581443548
7,1,6,0.9905439615249634,0.3780481517314911,0.0006963274208828807,-0.0023209904320538044
8,1,7,0.9906074404716492,0.14341554045677185,0.0006890514632686973,-0.0023199545685201883
9,1,8,0.990280270576477,0.18123766779899597,0.0006901612505316734,-0.002312020631507039
10,1,9,0.991457462310791,-0.26170551776885986,0.0006987487431615591,-0.002319582272320986
11,1,10,0.9910296201705933,-0.06545630842447281,0.0006922760512679815,-0.002314018551260233
12,1,11,0.9909089207649231,-0.5060105919837952,0.0007122339447960258,-0.0023156257811933756
13,1,12,0.990792453289032,-0.4363441467285156,0.0007186137372627854,-0.0023200693540275097
14,1,13,0.9897615313529968,-0.17882908880710602,0.0007181715918704867,-0.0023220747243613005
15,1,14,0.990718424320221,0.5593576431274414,0.0007147789001464844,-0.0023299676831811666
16,1,15,0.9903779029846191,-0.09830578416585922,0.0007238256512209773,-0.0023265122435986996
17,1,16,0.9903711080551147,0.4117961823940277,0.0006954899290576577,-0.00232757069170475
18,1,17,0.990917980670929,-0.13628070056438446,0.0007002610946074128,-0.0023317146115005016
19,1,18,0.9912241101264954,0.7085675597190857,0.000703047844581306,-0.0023305483628064394
20,1,19,0.9902653694152832,0.11491003632545471,0.0007048036204650998,-0.0023194632958620787
21,1,20,0.9900445342063904,0.2879578173160553,0.0007001562044024467,-0.002321866573765874
22,1,21,0.9906839728355408,-0.11832049489021301,0.0007068433333188295,-0.002313874429091811
23,1,22,0.9909511804580688,0.2918637692928314,0.0007110167061910033,-0.0023126499727368355
24,1,23,0.9911016821861267,0.21976551413536072,0.0007178392261266708,-0.0023164991289377213
25,1,24,0.9910640716552734,-0.12140709161758423,0.0007203886052593589,-0.0023187005426734686
26,1,25,0.9896973371505737,0.3120028078556061,0.000716493115760386,-0.002317686565220356
27,1,26,0.9901570081710815,0.2719258666038513,0.000689975218847394,-0.002322999993339181
28,1,27,0.9916550517082214,0.5212981104850769,0.000692595960572362,-0.002321738749742508
29,1,28,0.9900690317153931,-0.0559120699763298,0.0006951553514227271,-0.0023143491707742214
30,1,29,0.9905670285224915,-0.10100457072257996,0.000688212807290256,-0.002320685889571905
31,1,30,0.9901095628738403,-0.28335440158843994,0.000700373318977654,-0.002327866153791547
32,1,31,0.9908822774887085,0.0817224383354187,0.0007128502475097775,-0.0023271634709089994
33,1,32,0.9904865026473999,0.5386431217193604,0.0007192871998995543,-0.0023203743621706963
34,1,33,0.9902998208999634,-0.10196542739868164,0.0007089808350428939,-0.0023241008166223764
35,1,34,0.991423487663269,0.6666809916496277,0.0007128576980903745,-0.0023248582147061825
36,1,35,0.990551769733429,-0.3132883608341217,0.000715498928911984,-0.002315505174919963
37,1,36,0.9905538558959961,-0.8513162732124329,0.0006995144067332149,-0.0023276815190911293
